;Demographics;;;;;Self Assesment;;;;;;;;;;General Attitude toward robots;;;;;;;;;;;;;;;;;;;;;;;;Nasa TLX;;;;;;;;;;;;;Nasa TlX;;;;;;;;;;;;;;;;;;;;;Post experiment;;;;;;;;;;;;;;;;;;
9/16/2025 14:55:56;P31;Male;20;No;3;3;3;4;2;3;3;2;1;3;2;2,6;26;2;3;5;2;1;1;1;3;2;4;5;5;5;5;5;4;2;2;4;1;72;13;11;25;13;Without pop-up questions;387;17;3;2;5;10;6;4;10;6;9;9;9;8;With pop-up questions;223;121;371;17;6;2;5;9;4;7;8;8;8;7;10;9;8;9;8;9;223;164;176;195;Reducing waiting time, Reducing total completion time, Robot’s limitations for certain tasks;Tried to think about how long it takes me and the robot to complete a task, and then assign the tasks such that we both finish at the same time in the end, maximizing efficiency. ;Something that I forgot to take into account is how precise the robot is, meaning that although it does not move as fast, the movement it does is calculated and does not waste time. ;Maybe sliding the dovetail upper part in, it seemed strangely efficient at that. ;For the most part, yes.;Definitely.;I felt like a team, maybe even as if the robot was the lead on some occassions, as it always finished before me.;Probably the fact that that it is not able to do the screwing parts.;It did, in the beginning I did not assign as many tasks to it, as I thought that I will be faster than the robot. By the last experiment I basically almost allocated all the tasks the robot could do to it. ;I think moving the wheel holder placement higher, as during the last run I was waiting a bit too long for that to be placed. Except that, I believe the allocation was fine.
9/16/2025 17:41:16;P32;Female;33;Yes;4;4;4;4;4;4;4;3;4;4;4;3,9;39;3;2;3;4;1;1;2;1;1;1;5;5;5;2;3;1;1;1;4;5;68;13;6;20;12;Without pop-up questions;311;18;2;2;3;10;5;3;10;10;10;10;9;6;With pop-up questions;127;472;417;20;4;2;6;10;7;5;9;9;8;9;9;7;9;9;9;11;155;156;174;243;Reducing waiting time, Workspace layout (how space is divided between me and the robot), Robot’s limitations for certain tasks, My safety (avoiding collisions with the robot);Based on the experienced waiting time;Keeping the pace. precision;Precision of placement, no error in orders;yes;yes;yes, we are a team;the limitations and the safety in the workspace;no, it was positive from beginning;The last allocation of tasks was optimal, minimum stall time for me and robot, safety in the mvements
9/16/2025 19:07:36;P33;Male;30;Yes;3;4;3;3;2;3;4;3;3;3;3;3,1;31;1;2;3;3;4;3;3;2;1;4;5;5;5;5;5;4;4;4;5;4;64;13;13;25;21;Without pop-up questions;298;17;6;3;3;10;8;8;7;8;6;6;8;8;With pop-up questions;493;217;281;16;9;4;7;9;9;4;8;9;10;9;10;10;9;8;8;8;156;142;135;146;Reducing waiting time, Workspace layout (how space is divided between me and the robot), Robot’s limitations for certain tasks;Taking into account the pop-up questions helped with the waiting times for the robot, as if timed correctly the questions can basically mask the time spent waiting for the robot to complete its tasks. Otherwise, the robot is fairly slow with picking up and placing the pieces, so complex parts can be shifted to be mostly done by humans, or in the case of the museum, the robot was not properly placing the piece.;It is ok, but I would prefer it if it were doing the screwing and detailed tasks like passing the rod through the buildings, as I feel it's were most of the effort is.;No;Somewhat, once the paths of the robot are fixed and well-known it is easier to work around it;Definitely, especially for screwing;It felt more like the robot was helping me, rather than working together, also because the robot was not getting the pop-up questions;Its slowness;With the pop-up questions it actually improved a bit, because its slowness was on-par with the context switching for taking care of the pop-up questions;I am fairly satisfied with how I placed the tasks for the pop-up questions, so nothing
9/17/2025 14:35:30;P34;Male;23;No;4;3;3;3;3;3;3;4;2;3;3;3;30;4;3;4;3;4;2;2;1;1;3;4;5;5;4;4;2;3;2;4;3;68;18;9;22;14;Without pop-up questions;236;13;2;3;5;8;5;2;7;8;6;5;9;7;With pop-up questions;202;564;373;17;7;3;7;8;3;2;8;9;7;6;9;7;7;6;7;10;114;122;196;177;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), Working at a comfortable pace, Robot’s limitations for certain tasks;I tried to reduce the working time and that the robot and i had the same work load.;Faster in placing the pieces correctly than i thougt.;The robot doesn´t make mistakes caused by stress and works very constantly.;Yes.;Yes, i would.;I think we worked as a team and the robot is a very good support.;The robot should do the things he is capable of, the routine work, and i did the things, he couldn´t.;"Yes, first i was a little bit sceptic, but the robot is work and ""emotional"" support, makes you feel more productive.";I would try to balance the workload more for more effiency, to save time. But if i would work with the robot for 8 hours, i would give the robot more tasks, so i won`t get exhausted.
9/17/2025 17:32:26;P35;Male;30;No;4;4;2;4;4;3;3;3;4;4;3;3,4;34;4;3;4;3;4;1;1;1;1;1;5;5;5;3;5;1;2;3;4;2;71;18;5;23;12;Without pop-up questions;383;22;3;3;4;10;3;1;9;10;10;10;10;2;With pop-up questions;409;88;392;22;4;3;4;9;4;2;9;10;10;10;9;2;11;11;11;11;191;192;197;195;Reducing total completion time, My own performance/abilities, Robot’s limitations for certain tasks;most demanding tasks at first, then the robot does the work;Very good, but could be quicker;no;yes;yes;yes, team;Moving parts to the right place, when it makes the most sense;no;actually nothing
9/18/2025 13:28:30;P36;Female;28;Yes;3;4;2;3;4;3;3;3;4;3;3;3,2;32;4;3;4;3;2;1;1;1;2;4;3;4;4;3;4;2;1;1;2;2;70;16;9;18;8;Without pop-up questions;345;20;1;5;2;7;3;2;7;7;8;7;10;8;With pop-up questions;177;447;386;22;6;6;7;5;4;1;6;6;7;7;9;9;11;9;11;11;190;155;195;191;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot);I wanted to safe time while using the robot;Good for parallel task while I do something else like screwing;No. In general I would say he is slower in doing the tasks, therefore I decided at the last round to do a view of the tasks by my one. But it is good to use him for tasks while i do something else (see answer 3);Yes;Yeah, if it could save some time for me or if it releaves some stress I would allocate more tasks to him, depending on the use case.;I think we were a equal team;My allocation decision was not influenced by the qualities of the robot I would say, but rahter on the duration and steps within the task;No;Yeah, I would realocate the order of the tasks to finish even faster
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;average:;3,218518519;32,18518519;;;;;;;;;;;;;;;;;;;;average:;66,85185185;16,96296296;8,925925926;22,51851852;15,66666667;;;;2,925925926;3,703703704;4,148148148;9,037037037;4,296296296;2,481481481;8,703703704;8,259259259;8,185185185;8;9,148148148;4,777777778;;;;5,851851852;3,851851852;5,925925926;8,814814815;6;3,407407407;8,62962963;8,296296296;7,851851852;7,962962963;9,185185185;5,37037037;;;;;;compare to Orange no question;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;SD:;0,370069679;3,700696785;;;;;;;;;;;;;;;;;;;;SD:;5,245538058;4,004626954;3,011847452;2,276474507;4,616025597;;;;1,920054605;1,814785743;2,106833273;1,786304339;1,85668884;2,207859569;1,612804886;2,141038436;1,77670908;1,901416476;1,769478491;2,358835001;;;;1,895413568;1,974913897;1,591465844;1,331194866;1,901416476;2,324770613;1,181529262;1,877289675;1,791082692;1,89089888;1,754927941;2,884282982;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;With Question:;5,851851852;3,851851852;5,925925926;8,814814815;6;3,407407407;8,62962963;8,296296296;7,851851852;7,962962963;9,185185185;5,37037037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,895413568;1,974913897;1,591465844;1,331194866;1,901416476;2,324770613;1,181529262;1,877289675;1,791082692;1,89089888;1,754927941;2,884282982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
